"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones","Barcelona ciutat",6026
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Barcelona ciutat",2185
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Barcelona ciutat",2868
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Barcelona ciutat",3297
2021,2,"Eixample",5,"el Fort Pienc","Dones","Barcelona ciutat",7586
2021,2,"Eixample",6,"la Sagrada Família","Dones","Barcelona ciutat",12509
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Barcelona ciutat",10795
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Barcelona ciutat",10279
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Barcelona ciutat",14304
2021,2,"Eixample",10,"Sant Antoni","Dones","Barcelona ciutat",9226
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Barcelona ciutat",7824
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Barcelona ciutat",426
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Barcelona ciutat",7921
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Barcelona ciutat",2309
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Barcelona ciutat",3614
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Barcelona ciutat",5132
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Barcelona ciutat",5734
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Barcelona ciutat",10726
2021,4,"Les Corts",19,"les Corts","Dones","Barcelona ciutat",13010
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Barcelona ciutat",6293
2021,4,"Les Corts",21,"Pedralbes","Dones","Barcelona ciutat",3255
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Barcelona ciutat",1442
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Barcelona ciutat",7961
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Barcelona ciutat",5523
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Barcelona ciutat",8458
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Barcelona ciutat",15297
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Barcelona ciutat",9251
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Barcelona ciutat",4593
2021,6,"Gràcia",29,"el Coll","Dones","Barcelona ciutat",1987
2021,6,"Gràcia",30,"la Salut","Dones","Barcelona ciutat",3918
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Barcelona ciutat",12986
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Barcelona ciutat",10056
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Barcelona ciutat",6914
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Barcelona ciutat",2512
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Barcelona ciutat",10182
