register_id;name;institution_id;institution_name;created;modified;addresses_roadtype_id;addresses_roadtype_name;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;addresses_neighborhood_id;addresses_neighborhood_name;addresses_district_id;addresses_district_name;addresses_zip_code;addresses_town;addresses_main_address;addresses_type;values_id;values_attribute_id;values_category;values_attribute_name;values_value;values_outstanding;values_description;secondary_filters_id;secondary_filters_name;secondary_filters_fullpath;secondary_filters_tree;secondary_filters_asia_id;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086009449;Mercat de La Concepció;;;31044;44732,38445;;;18505;Carrer d'Aragó;311;;7;la Dreta de l'Eixample;2;Eixample;8009;Barcelona;VERDADERO;;161780;20001;Telèfons;Tel.;934132314;VERDADERO;;66731068;WiFi BCN;Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN;651;6,5103E+13;4,30537E+14;4,583E+15;4,13956E+15;2,16907E+15
﻿92086009449;Mercat de La Concepció;;;31044;44732,38445;;;18505;Carrer d'Aragó;311;;7;la Dreta de l'Eixample;2;Eixample;8009;Barcelona;VERDADERO;;161780;20001;Telèfons;Tel.;934132314;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,30537E+14;4,583E+15;4,13956E+15;2,16907E+15
﻿92086009450;Mercat de la Sagrada Família;;;31044;44728,48622;;;238400;Carrer de Padilla;255;;6;la Sagrada Família;2;Eixample;8013;Barcelona;VERDADERO;;161781;20001;Telèfons;Tel.;934132324;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,31213E+16;4,58412E+15;4,14057E+15;2,17703E+15
﻿92086009452;Mercat de Sant Antoni;;;33049;44768,41858;;;349706;Carrer del Comte d'Urgell;1;;10;Sant Antoni;2;Eixample;8011;Barcelona;VERDADERO;;161783;20001;Telèfons;Tel.;934132300;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,29907E+16;4,58123E+15;4,13796E+15;2,16174E+15
﻿92086009457;Mercat de Les Corts;;;31044;44732,38082;;;343903;Travessera de les Corts;215;;19;les Corts;4;Les Corts;8028;Barcelona;VERDADERO;;162504;20039;Telèfons;Servei a domicili;667570336;VERDADERO;;66731068;WiFi BCN;Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN;651;6,5103E+13;4,27241E+16;4,58176E+15;4,13841E+15;2,1298E+16
﻿92086009457;Mercat de Les Corts;;;31044;44732,38082;;;343903;Travessera de les Corts;215;;19;les Corts;4;Les Corts;8028;Barcelona;VERDADERO;;162504;20039;Telèfons;Servei a domicili;667570336;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,27241E+16;4,58176E+15;4,13841E+15;2,1298E+16
﻿92086009773;Mercat de la Llibertat;;;31064;44732,37875;;;179107;Plaça de la Llibertat;27;;31;la Vila de Gràcia;6;Gràcia;8012;Barcelona;VERDADERO;;162390;20039;Telèfons;Servei a domicili;933687946;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,2926E+15;4,58348E+15;4,13997E+15;2,15375E+16
﻿92086009781;Mercat de Montserrat;;;31064;44728,48757;;;120807;Via Favència;241;;50;les Roquetes;8;Nou Barris;8042;Barcelona;VERDADERO;;162008;20001;Telèfons;Tel.;934132341;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,31403E+15;4,58863E+15;4,14463E+16;2,17879E+16
﻿92086009789;Mercat de Sant Martí;;;31064;44768,43696;;;270107;Carrer de Puigcerdà;206;;73;la Verneda i la Pau;10;Sant Martí;8020;Barcelona;VERDADERO;;161886;20001;Telèfons;Tel.;934132297;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,33591E+15;4,58554E+13;4,14187E+15;2,20532E+16
﻿92086009790;Mercat del Besòs;;;31064;44818,36006;;;165601;C Jaume Huguet;38;;70;el Besòs i el Maresme;10;Sant Martí;8019;BARCELONA;VERDADERO;;161887;20001;Telèfons;Tel.;934132305;VERDADERO;;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,34411E+16;4,58559E+15;4,14192E+16;2,21513E+16
